geoid,name,B01003001,"B01003001, Error"
05000US24031,"Montgomery County, MD",1057586,
86000US20705,"20705",28119,1864
86000US20707,"20707",36549,1231
86000US20777,"20777",3046,543
86000US20812,"20812",314,117
86000US20814,"20814",30822,1739
86000US20815,"20815",31269,1602
86000US20816,"20816",18081,1042
86000US20817,"20817",37738,1543
86000US20818,"20818",1602,386
86000US20832,"20832",25766,1405
86000US20833,"20833",7868,1137
86000US20837,"20837",6605,349
86000US20838,"20838",409,191
86000US20839,"20839",116,99
86000US20841,"20841",9706,1180
86000US20842,"20842",2093,435
86000US20850,"20850",50365,1799
86000US20851,"20851",14660,1163
86000US20852,"20852",47857,2497
86000US20853,"20853",31438,2550
86000US20854,"20854",49694,2142
86000US20855,"20855",16557,1546
86000US20860,"20860",2062,566
86000US20861,"20861",3020,991
86000US20862,"20862",393,209
86000US20866,"20866",16499,1689
86000US20868,"20868",384,242
86000US20871,"20871",28329,2066
86000US20872,"20872",13138,1042
86000US20874,"20874",62233,2479
86000US20876,"20876",26511,1810
86000US20877,"20877",39068,1697
86000US20878,"20878",65236,1820
86000US20879,"20879",26120,2006
86000US20880,"20880",590,140
86000US20882,"20882",13661,1032
86000US20886,"20886",34419,2189
86000US20889,"20889",210,57
86000US20892,"20892",0,14
86000US20894,"20894",0,14
86000US20895,"20895",19042,1192
86000US20896,"20896",890,136
86000US20899,"20899",106,62
86000US20901,"20901",37338,1960
86000US20902,"20902",53170,2368
86000US20903,"20903",25540,2278
86000US20904,"20904",57244,2372
86000US20905,"20905",18268,1786
86000US20906,"20906",71216,2734
86000US20910,"20910",45096,1797
86000US20912,"20912",25428,1191
86000US21771,"21771",32827,2333
86000US21797,"21797",8772,863
